id	filename	md5	size	state	acl	project_id	category
003a185f-a81e-4c79-9074-216489cc602b	MP2PRT-PAWAYI_Clinical_Supplement.tsv	b066c6ac3f916b365ac4164cf0714d3f	270	released	[b'open']	MP2PRT-WT	data_file
0042b701-6627-4c6a-924b-fb8b7fbcb0a9	ffe26779-3744-460c-a250-cec8b1e850ee.somatic.SV.bedpe	17ef4cd91dd02498ade3c451b6c7c2d5	47006	released	[b'phs001965']	MP2PRT-WT	data_file
2392bc64-473c-4c55-9662-a32a51346e1d	3062e028-62a0-47fe-99c0-203de6ada232.somatic_sv.vcf.gz.tbi	0be3dcedd964ea2593e006e13fc021a0	5952	released	[b'phs001965']	MP2PRT-WT	index_file
00475598-9e7d-411b-9376-6b26020f5a78	3062e028-62a0-47fe-99c0-203de6ada232.somatic_sv.vcf.gz	619b3a860a8abe3ef5ae1250d675b2ae	27218	released	[b'phs001965']	MP2PRT-WT	data_file
00929318-646a-4da1-b174-04d33274ecf6	MP2PRT-WT.a64a1cc8-f261-47b7-84b9-a3ff5bd67868.arriba.rna_fusion.tsv	56df3248251704f4de88d1f884f8d17f	24602	released	[b'phs001965']	MP2PRT-WT	data_file
00a1006c-5dcd-4906-bc0b-06a2c8d06794	bb8b5abd-fb4c-4d0a-a02b-946dfc68ee46.wgs.BRASS.rerun_structural_variation.bedpe	6ee194e1a8149ed8c2c5f6b06ff6cf96	106322	released	[b'phs001965']	MP2PRT-WT	data_file
cd1ccf5c-c55d-413c-90f6-554d492e2aa5	f4e0d670-08ae-4566-ae82-0929a7d1dcc2.wgs.sanger_raw_pindel.raw_somatic_mutation.vcf.gz.tbi	808cdc1be643180ce812fee0cd4ab293	1491302	released	[b'phs001965']	MP2PRT-WT	index_file
00a65256-c1ac-4455-abd4-1fdf786affaa	f4e0d670-08ae-4566-ae82-0929a7d1dcc2.wgs.sanger_raw_pindel.raw_somatic_mutation.vcf.gz	03ee789e4654aa172021fb6801d9ae54	66106730	released	[b'phs001965']	MP2PRT-WT	data_file
00f5d851-f1a4-4ffd-85c1-bc74702b3aab	MP2PRT-WT.edf54b6d-7ebf-43b6-b879-aca579a9eaae.star_fusion.rna_fusion.tsv	b1afeba0fb7f76577dd6942a72137537	234	released	[b'phs001965']	MP2PRT-WT	data_file
011185ab-3a65-4380-93d2-cbc2cd5c7a52	6e9010fa-e849-4f8f-a4d7-1f43f2e8a78a.somatic.SV.bedpe	386463192a01db49465387cd9d81df31	88607	released	[b'phs001965']	MP2PRT-WT	data_file
