id	filename	md5	size	state	acl	project_id	category
0010ae40-bb6e-4b6d-b058-e046829d9813	ad15e73b-ee70-49d5-b05b-9ff32e875d0c.wxs.Pindel.aliquot.maf.gz	482485d4ccaa6e62721004ab191a1a1c	126242	released	[b'phs000178']	TCGA-MESO	data_file
004e1ebc-a0b8-4195-bef7-7b2adcfcfa29	530eecfa-6912-4216-ae2b-7921b9fa7dbd_wgs_gdc_realn.bai	c10ed2667d7ee5cbbd7348a440ce6463	9752512	released	[b'phs000178']	TCGA-MESO	index_file
00208137-391e-431a-aadb-72d42575ae59	530eecfa-6912-4216-ae2b-7921b9fa7dbd_wgs_gdc_realn.bam	9497c0951c1e8979e066c52a9c79ef6f	204569125874	released	[b'phs000178']	TCGA-MESO	data_file
002a3972-1304-4186-92ad-d279e68574c5	c56c5bd3-d365-416a-afb0-1a564caa651a.wxs.MuSE.aliquot.maf.gz	03b198b8ee8512ec3df444faa8c74f4c	123096	released	[b'phs000178']	TCGA-MESO	data_file
08188579-b35e-4a33-83c0-1eac4ca4419f	TCGA-MESO.87259ca3-4d26-403e-9ba0-ea891e5bfff5.wxs.pindel.raw_somatic_mutation.vcf.gz.tbi	bbffeab478ef96de5f4d9bc50e8a4cc7	4383	released	[b'phs000178']	TCGA-MESO	index_file
002b01a0-cedf-4c67-b42d-7d95870d8df2	TCGA-MESO.87259ca3-4d26-403e-9ba0-ea891e5bfff5.wxs.pindel.raw_somatic_mutation.vcf.gz	6b6497e71673d9765fc9a8380a251ef0	22697	released	[b'phs000178']	TCGA-MESO	data_file
00345ebc-3b87-4e68-9480-6fa5a240b1f5	TCGA-MESO.d4a411a0-4d24-4662-8875-821eb67c0277.star_fusion.rna_fusion.bedpe	40394c439fee6ff619198741b7c2b0a6	460	released	[b'phs000178']	TCGA-MESO	data_file
1fe95fd3-41d3-4cf6-9aec-e703b0c3d08b	TCGA-MESO.94b5068b-e367-4f79-9260-8e11d7c157d1.wxs.pindel.raw_somatic_mutation.vcf.gz.tbi	a0b04b91c6ad7478ab9e37b9fb1dfe04	4769	released	[b'phs000178']	TCGA-MESO	index_file
00485054-a5ae-423b-acf7-6d1b65d28487	TCGA-MESO.94b5068b-e367-4f79-9260-8e11d7c157d1.wxs.pindel.raw_somatic_mutation.vcf.gz	c77e887acbdb335b480f6b761cbe0f6e	23589	released	[b'phs000178']	TCGA-MESO	data_file
805b2d67-c740-494c-9f7f-9ccb195d4585	TCGA-MESO.d01c3469-0777-482a-89bf-c042cc265e4d.wxs.pindel.raw_somatic_mutation.vcf.gz.tbi	fe264b7bd75a680fcd94499249e984de	1687	released	[b'phs000178']	TCGA-MESO	index_file
004c6ad6-067a-4ad6-b1db-65bb288a42e5	TCGA-MESO.d01c3469-0777-482a-89bf-c042cc265e4d.wxs.pindel.raw_somatic_mutation.vcf.gz	1cbccf67ae06a5d8bd85c93d63953024	20118	released	[b'phs000178']	TCGA-MESO	data_file
004f7723-b939-4193-b50d-a228206d4629	b06e1f41-5135-41e1-9eb5-eabcc5b3f09c_noid_Grn.idat	13106498ca566820409799e12c340987	8095299	released	[b'open']	TCGA-MESO	data_file
695bd735-aa3a-4e41-b2a9-69e9f3c5c8f5	TCGA-MESO.4c0d5842-4b2c-414a-8337-5aa2781d5ce3.wxs.mutect2.raw_somatic_mutation.vcf.gz.tbi	ecc356cc6cf57e3321c966ddb6309151	38755	released	[b'phs000178']	TCGA-MESO	index_file
00519ed3-3e83-4ae5-a0dc-c72cd4add196	TCGA-MESO.4c0d5842-4b2c-414a-8337-5aa2781d5ce3.wxs.mutect2.raw_somatic_mutation.vcf.gz	80d788024f8be04a16542c7e0cfa2ac7	246657	released	[b'phs000178']	TCGA-MESO	data_file
005dd64e-031d-4f2a-861d-a426f572596d	TCGA-MESO.ea69c992-ed75-4528-92ec-6fd67ef2fc08.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released	[b'phs000178']	TCGA-MESO	data_file
005f2f30-a967-4fff-b07f-5ce63928d004	NISEI_p_TCGAb_417_418_NSP_GenomeWideSNP_6_E01_1485918.nocnv_grch38.seg.v2.txt	2840336a6b3e9c99a76be1e769da51a1	40777	released	[b'open']	TCGA-MESO	data_file
0060c041-74e1-46d3-99b3-9b08379344c4	a721b226-49dc-4a5b-ba48-9a8dd4575f59_noid_Red.idat	cae82d8a19a94baffdd8f41bb2195b1c	8095296	released	[b'open']	TCGA-MESO	data_file
006d8db4-e464-46e2-879a-696608dabde6	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_B09_1376874.CEL	766106bd5b6d0bf72ae071c465f6da24	69096117	released	[b'phs000178']	TCGA-MESO	data_file
64e1a1e1-2809-4eb8-9812-690ec72969b3	571c33c4-af00-406a-bcb4-353c885ad4bb.rna_seq.chimeric.gdc_realn.bam.bai	07ff777e4f517ee0e3e93ef14c0b3915	2584360	released	[b'phs000178']	TCGA-MESO	index_file
006d94f5-ecec-46cf-8b2c-93179168b2ab	571c33c4-af00-406a-bcb4-353c885ad4bb.rna_seq.chimeric.gdc_realn.bam	58a97d84ade9e3ca30c6b4a6ebf468a5	66149439	released	[b'phs000178']	TCGA-MESO	data_file
3bb62eec-8fe9-4cce-b85b-b061816ac893	TCGA-MESO.50bc12bd-4124-4425-ab89-289bb1c7e6b4.wxs.varscan2.raw_somatic_mutation.vcf.gz.tbi	1a3ac92eeccc03e77c5ee6490161d552	14313	released	[b'phs000178']	TCGA-MESO	index_file
007a5a7a-8f7e-4ab3-b17e-25db464168a7	TCGA-MESO.50bc12bd-4124-4425-ab89-289bb1c7e6b4.wxs.varscan2.raw_somatic_mutation.vcf.gz	f850b0485c7027a0cd245381543dd736	51704	released	[b'phs000178']	TCGA-MESO	data_file
daad2190-b368-49da-af8f-2ce1ba27b583	TCGA-MESO.7406e08e-cef4-4f4e-875b-8c6226d23910.wxs.pindel.raw_somatic_mutation.vcf.gz.tbi	35960dcdcfa0d441a8b5efd526aad428	5244	released	[b'phs000178']	TCGA-MESO	index_file
0083282a-78bc-4d5e-af16-bb53979d39fd	TCGA-MESO.7406e08e-cef4-4f4e-875b-8c6226d23910.wxs.pindel.raw_somatic_mutation.vcf.gz	fbbbca213537f47d27df5ee9ac0afe44	24012	released	[b'phs000178']	TCGA-MESO	data_file
7d8f44ef-9e8b-44c8-b2ec-37b4cf8589f9	TCGA-MESO.66e5d8b2-f5b8-46ea-bd9d-9dd990808df1.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz.tbi	f94127b67d9031892f82b0899ff2d7a6	76213	released	[b'phs000178']	TCGA-MESO	index_file
008ade93-23ba-424f-8c18-dc8e21ba03d0	TCGA-MESO.66e5d8b2-f5b8-46ea-bd9d-9dd990808df1.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	d7fd3eba9567b67f7d935a492109b895	534293	released	[b'phs000178']	TCGA-MESO	data_file
